ARI,CAR,@WAS,@SEA,NYG,@MIN,BYE,PIT,@BAL,LA,@PHI,@SF,@LA,DAL,SF,CLE,@CIN,SEA
ATL,@CHI,PHI,@TB,@SEA,GB,CAR,@DET,BYE,@IND,NO,TEN,MIN,@HOU,@CAR,JAX,@NO,TB
BAL,PIT,@TEN,@LA,NYJ,BYE,HOU,@JAX,ARI,@PIT,@SEA,CIN,SF,@CLE,IND,@SD,CLE,@CIN
BUF,@KC,OAK,NE,@CIN,PHI,@NYG,BYE,WAS,NYJ,@DAL,@MIA,@NYJ,TEN,@SD,MIA,DEN,@NE
CAR,@ARI,GB,JAX,@CHI,NO,@ATL,WAS,MIN,BYE,TEN,@DET,@IND,@TB,ATL,@HOU,TB,@NO
CHI,ATL,@NO,GB,CAR,@DET,MIN,@TB,BYE,@PHI,DET,SD,@OAK,KC,@DEN,SEA,@GB,@MIN
CIN,@CLE,@DEN,SF,BUF,@JAX,IND,BYE,@SEA,@TEN,PIT,@BAL,CLE,@PIT,HOU,@LA,ARI,BAL
CLE,CIN,@IND,MIA,TEN,BYE,@OAK,SEA,@SF,@HOU,LA,JAX,@CIN,BAL,@PIT,@ARI,@BAL,PIT
DAL,@NYJ,@SF,WAS,DET,BYE,@NE,LA,@PHI,SEA,BUF,@WAS,MIA,@ARI,NYG,@TB,PHI,@NYG
DEN,OAK,CIN,@TEN,@GB,SD,BYE,@MIA,DET,@OAK,@KC,NYJ,@SD,@MIN,CHI,NE,@BUF,KC
DET,@TB,KC,@MIN,@DAL,CHI,SF,ATL,@DEN,BYE,@CHI,CAR,GB,@NO,MIN,@OAK,SD,@GB
GB,NO,@CAR,@CHI,DEN,@ATL,LA,@MIN,BYE,@SD,MIN,TB,@DET,@NYG,OAK,@KC,CHI,DET
HOU,IND,@MIA,@NO,PIT,OAK,@BAL,@TEN,JAX,CLE,@TB,BYE,@JAX,ATL,@CIN,CAR,@IND,TEN
IND,@HOU,CLE,PIT,@TB,KC,@CIN,@NO,@TEN,ATL,JAX,BYE,CAR,@NE,@BAL,TEN,HOU,@JAX
JAX,TEN,@NYJ,@CAR,NO,CIN,@PIT,BAL,@HOU,BYE,@IND,@CLE,HOU,SD,TB,@ATL,@TEN,IND
KC,BUF,@DET,@SD,MIN,@IND,BYE,@OAK,SD,MIA,DEN,@NE,PIT,@CHI,@NYJ,GB,OAK,@DEN
LA,PHI,@NYG,BAL,WAS,BYE,@GB,@DAL,NO,@ARI,@CLE,SEA,ARI,@SF,@SEA,CIN,@PIT,SF
MIA,NE,HOU,@CLE,@SD,BYE,@NYJ,DEN,@NYG,@KC,WAS,BUF,@DAL,OAK,PHI,@BUF,@NE,NYJ
MIN,@SD,TB,DET,@KC,ARI,@CHI,GB,@CAR,BYE,@GB,OAK,@ATL,DEN,@DET,NO,@WAS,CHI
NE,@MIA,SD,@BUF,@OAK,NYJ,DAL,BYE,@PIT,NYG,@NYJ,KC,@PHI,IND,@WAS,@DEN,MIA,BUF
NO,@GB,CHI,HOU,@JAX,@CAR,@TB,IND,@LA,TB,@ATL,BYE,NYG,DET,@TEN,@MIN,ATL,CAR
NYG,@WAS,LA,@PHI,@ARI,SEA,BUF,BYE,MIA,@NE,@SF,PHI,@NO,GB,@DAL,WAS,@NYJ,DAL
NYJ,DAL,JAX,@OAK,@BAL,@NE,MIA,SD,BYE,@BUF,NE,@DEN,BUF,@WAS,KC,@PHI,NYG,@MIA
OAK,@DEN,@BUF,NYJ,NE,@HOU,CLE,KC,BYE,DEN,@SD,@MIN,CHI,@MIA,@GB,DET,@KC,SD
PHI,@LA,@ATL,NYG,SF,@BUF,@WAS,BYE,DAL,CHI,ARI,@NYG,NE,@SEA,@MIA,NYJ,@DAL,WAS
PIT,@BAL,SEA,@IND,@HOU,TEN,JAX,@ARI,NE,BAL,@CIN,BYE,@KC,CIN,CLE,@SF,LA,@CLE
SD,MIN,@NE,KC,MIA,@DEN,BYE,@NYJ,@KC,GB,OAK,@CHI,DEN,@JAX,BUF,BAL,@DET,@OAK
SF,SEA,DAL,@CIN,@PHI,TB,@DET,BYE,CLE,@WAS,NYG,ARI,@BAL,LA,@ARI,PIT,@SEA,@LA
SEA,@SF,@PIT,ARI,ATL,@NYG,BYE,@CLE,CIN,@DAL,BAL,@LA,WAS,PHI,LA,@CHI,SF,@ARI
TB,DET,@MIN,ATL,IND,@SF,NO,CHI,BYE,@NO,HOU,@GB,@TEN,CAR,@JAX,DAL,@CAR,@ATL
TEN,@JAX,BAL,DEN,@CLE,@PIT,BYE,HOU,IND,CIN,@CAR,@ATL,TB,@BUF,NO,@IND,JAX,@HOU
WAS,NYG,ARI,@DAL,@LA,BYE,PHI,@CAR,@BUF,SF,@MIA,DAL,@SEA,NYJ,NE,@NYG,MIN,@PHI
